Status,Progress,Duration (in seconds),Finished...4,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,gender,education,employment,employed_job,ethnic,religion,religion_DO_1,religion_DO_2,religion_DO_3,religion_DO_4,religion_DO_5,religion_DO_6,income,governorate,emigrate_thoughts,emigrated,emigrate_country,immigrate_country,pol_ideo_1,pol_ideo_other_1,pol_ideo_other_2,pol_ideo_other_3,pol_ideo_other_4,pol_ideo_other_5,pol_ideo_other_6,pol_ideo_other_7,kais_direct,kais_rr,connections_self_1,connections_benefit_1,connections_meeting_1,vote_pres,party,entrep_pay_bribes_1,gov_pos_role,blame_crisis_1,blame_crisis_2,blame_crisis_3,blame_crisis_4,blame_crisis_5,blame_crisis_6,blame_crisis_7,blame_crisis_8,blame_crisis_9,traits1a,traits1b,country_surv,Create New Field or Choose From Dropdown...,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,Language,Finished...69,surveychannel,FL_36_DO_FL_37,FL_36_DO_FL_38,FL_36_DO_FL_56,FL_73_DO_FL_74,FL_73_DO_FL_75,FL_73_DO_FL_76,FL_78_DO_FL_79,FL_78_DO_FL_80,FL_78_DO_FL_81,FL_63_DO_saied_nonsensitive,FL_63_DO_saied_sensitive,FL_25_DO_PrimeControl,FL_25_DO_PrimePolitics,consent_agree
IP Address,100,1455,TRUE,R_1OPKNyVL9VLZOpk,R_erHRiDrpVtKiM5r,email,AR,NA,NA,NA,NA,NA,Male,University,Employed,Employee,Arab,Muslim,2,4,1,6,3,5,1400 TND to 2800 TND,Mahdia,Yes,No,NA,NA,61,18,39,56,56,33,33,31,NA,Both statements are true OR neither is true.,2,0,1,Yes,Yes,NA,Strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,I agree
IP Address,100,538,TRUE,R_5dK4GQeGXmRrrLX,R_4GkgHBIbR7girQJ,email,FR,NA,NA,NA,NA,NA,Male,Postgraduate,Unemployed,NA,Arab,Muslim,1,5,3,6,4,2,0 to 500 TND,Kairouan,Yes,No,NA,NA,57,70,85,15,11,18,17,13,No,NA,3,3,2,No,No,NA,Somewhat agree,5,2,9,6,7,8,4,3,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,I agree
IP Address,100,503,TRUE,R_30v4yyh6jEcXydI,R_2TBgAdF42ygropn,email,FR,NA,NA,NA,NA,NA,Female,Postgraduate,Student,NA,Arab,Muslim,1,3,6,2,4,5,1400 TND to 2800 TND,Tunis,Yes,Yes,Tunisia,Switzerland,21,75,23,30,100,22,28,78,NA,Both statements are true OR neither is true.,1,1,5,Yes,No,4,Somewhat agree,2,4,6,5,3,9,8,7,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,I agree
IP Address,100,1433,TRUE,R_3iPU0Luau1zHOr8,R_2fHCjHWl4Vvjk3X,email,FR,NA,NA,NA,NA,NA,Male,Post secondary or equivalent,Pensioner/retired/disabled,NA,Arab,Muslim,3,5,6,2,1,4,500 TND to 1400 TND,Siliana,No,NA,NA,NA,51,47,NA,7,3,16,19,19,No,NA,7,4,9,Yes,No,NA,Strongly Agree,1,9,3,4,2,6,7,5,8,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,I agree
IP Address,100,1080,TRUE,R_32JWBqoRC9HeRYL,R_2fJLSDzmp6vZFNJ,email,EN,NA,NA,NA,NA,NA,Male,University,Employed,Employee,Arab,Muslim,4,2,6,5,3,1,1400 TND to 2800 TND,Kebili,Yes,No,NA,NA,30,30,29,80,60,41,31,50,NA,Both statements are true OR neither is true.,8,6,4,Yes,No,31,Somewhat agree,1,9,2,4,3,8,6,7,5,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,EN,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,I agree
IP Address,100,1810,TRUE,R_3iXdLfFP4AxiLib,R_1OxgOjcyQ639vOR,email,FR,NA,NA,NA,NA,NA,Male,University,Unemployed,NA,Arab,Muslim,1,5,3,6,2,4,0 to 500 TND,Tunis,No,NA,NA,NA,60,60,33,0,0,0,0,0,NA,Both statements are true OR neither is true.,0,NA,0,Yes,No,NA,Somewhat agree,3,4,9,5,2,8,6,7,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,I agree
IP Address,100,1407,TRUE,R_26aoCPhGInQAk36,R_RfpFTipDPTADNOV,email,FR,NA,NA,NA,NA,NA,Female,Postgraduate,Unemployed,NA,Arab,Muslim,2,6,1,5,4,3,500 TND to 1400 TND,Sfax,No,NA,NA,NA,17,95,30,70,100,20,20,10,Yes,NA,1,3,1,Yes,Yes,20,Strongly disagree,2,5,3,7,4,9,8,6,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,I agree
IP Address,100,622,TRUE,R_2ScZbt1ClNQml5e,R_2g8IUOBDUqnNQ6l,email,EN,NA,NA,NA,NA,NA,Female,University,Unemployed,NA,Berber,Muslim,2,6,3,1,4,5,0 to 500 TND,Nabeul,Yes,No,NA,NA,20,20,NA,0,0,0,0,100,NA,Both statements are true OR neither is true.,NA,NA,NA,No,No,NA,Somewhat disagree,2,3,5,6,4,9,8,7,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,EN,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,I agree
IP Address,100,1197,TRUE,R_O0UfR3vWzzyhwNH,R_1Eb2nJVplTkapjU,email,FR,NA,NA,NA,NA,NA,Female,Postgraduate,Employed,Employee,Arab,Muslim,2,5,3,6,4,1,2800 TND to 5500 TND,Tunis,No,NA,NA,NA,50,71,40,22,22,34,16,20,No,NA,5,0,5,Yes,No,0,Somewhat agree,3,2,9,5,6,8,7,4,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,I agree
IP Address,100,1482,TRUE,R_BFAGqGy78YNd1MR,R_25SYc4qx9oNMryL,email,FR,NA,NA,NA,NA,NA,Male,Post secondary or equivalent,Employed,"Own account, self-employed",NA,Muslim,1,2,3,6,5,4,1400 TND to 2800 TND,Ben Arous,No,NA,NA,NA,37,47,39,43,38,31,53,47,Yes,NA,NA,NA,3,Yes,No,34,Somewhat agree,2,7,3,4,5,8,9,6,1,NA,NA,Tunisie,NA,NA,NA,NA,NA,NA,NA,FR,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,I agree
